2851	¿Cuántos años tienes?	3698302	Чи хэдэн настай вэ?
120047	Hemos alcanzado la cima de la montaña.	546072	Бид уулын оргилд хүрэв.
127380	Me despierto habitualmente a las seis.	546073	Би ихэвчлэн зургаан цагт босдог.
136209	¡Feliz Año Nuevo!	546074	Шинэ жилийн мэнд!
397688	¿Cómo estás?	766674	Сайн байна уу?
436118	¿Cómo se dice "cat" en español?	3246665	"Cat"ыг испани хэлээр хэрхэн хэлэх вэ?
436118	¿Cómo se dice "cat" en español?	3246681	"Cat"ыг испаниар юу гэж хэлэх вэ?
449794	¡Buen provecho!	3213662	Сайхан хооллоорой!
530773	Las hordas mongolas arrasaron con todo en su camino.	539645	Монгол нүүдэлчид замдаа тааралдсан бүгдийг арчиж хаясан.
847427	¿Cómo se dice "kaisha" en inglés?	3246658	"Kaisha"ыг англи хэлээр хэрхэн хэлэх вэ?
964639	Cogí un taxi porque llovía.	2852478	Бороо орсон учраас такси барисан.
1023547	No sé si tenga tiempo.	3445129	Би цаг байгаа эсэхийг мэдэхгүй.
1125847	Eres un asesino en serie.	1446165	Чи бол цуврал алуурчин.
1333019	Mi cuñado es un madero.	1446108	Манай хүргэн ах бол цагдаа.
1386101	¿Cuál es tu pájaro favorito?	3429518	Чиний дуртай шувуу юу вэ?
1386101	¿Cuál es tu pájaro favorito?	3429519	Чи ямар шувуунд дуртай вэ?
1459997	Ella se ve feliz.	2894245	Тэр эмэгтэй баяртай харагдаж байна.
1831904	Dáselo a mi perro, él se comerá cualquier cosa.	3429473	Наадхаа миний нохойнд өг, тэр юу ч хамаагүй иддэг.
2443858	Se fue de la casa con todo lo que poseía.	3429441	Тэр эмэгтэй өөрийн гэсэн бүх зүйлээ аваад гэрээсээ явсан.
2857916	No soy Mongol.	2857915	Би монгол хүн биш.
2864057	Estoy muy agradecido de que me hayan aceptado tan calurosamente.	2864056	Надад ингэж халуун дотно хандаж байгаад үнэхээр их баярлаж байна.
2894289	John se fue a Francia ayer.	2894285	Жон өчигдөр Франц явсан.
2895210	Es sorprendente que sepas su nombre.	2895207	Та тэрний нэрийг мэдэж байгаад гайхлаа.
3180372	Setenta u ochenta años es la duración normal de la vida del hombre.	3429445	Дал буюу наян жил нь эрэгтэй хүний ​​амьдралын хэвийн үргэлжлэх хугацаа юм.
3239805	No como comida mongola.	3099579	Би монгол хоол идэхгүй.
3239816	No haces nada más que comer.	3429423	Чи юу ч хийдэггүй зөвхөн иддэг.
3355514	Sí. Entendiste bien.	3355511	Тийм. Сайн ойлгосон байна.
3355516	Iré a Mongolia el 14 de julio.	3355515	7сарын 14нд монгол явна.
3355518	¿Cuándo irás a Japón?	3355517	Чи хэзээ Япон явах вэ?
3355520	A mí no me gusta el maíz.	3355519	Би эрдэнэ шишинд дургуй.
3355527	Irá a Mongolia el 14 de julio.	3355515	7сарын 14нд монгол явна.
3429449	Tom me dio raite a mi casa.	3429455	Том намайг гэрт хүргэж өгсөн.
3429458	Tom me llevó a mi casa.	3429455	Том намайг гэрт хүргэж өгсөн.
3531306	Me imaginé que esa era la razón por la que no te agrado yo.	3429418	Энэ л чи надад яагаад тийм их дургүй шалтгаан байх гэж би таамаглаж байна.
3605419	¿Bueno?	3613312	Байна уу?
3610798	¿Quieres jugar al ping-pong conmigo?	3610797	Ширээний теннис хамт тоглох уу?
3610804	Saben cómo hacer una bomba atómica.	1446181	Тэд атомын бөмбөг яаж хийхийг мэднэ.
3669241	A pesar de que no pueda hablar el dialecto shanghaiano, puedo hablar chino.	545881	Би Шанхай аялагаар ярьж чадахгүй ч гэсэн, хятадаар ярьж чадна.
3685153	¿Me enseña francés?	3685145	Та надад Франц хэл заах уу?
969648	Eres un buen estudiante.	3746993	Чи бол сайн сурагч.
513186	Mi lengua materna es el español.	3747009	Миний төрөлх хэл бол Спани хэл.
3754800	Algún día, sus deseos se cumplirán.	3754799	Хэзээ нэгэн өдөр таны хүсэл биелэх болно.
3754806	Dios recompensa a las personas diligentes.	3754805	Бурхан хичээнгүй хүнийг шагнадаг юм.
854437	¡Silencio!	3763914	Чимээгүй!
3767492	Conecta las palabras correspondientes.	3767494	Тохирох үгсийг холбоно уу.
3769315	Gracias por aprender nuestro idioma.	3769314	Манай хэлийг сурч байгаад баярлалаа.
3771649	A Maral le dolía la garganta y le dio fiebre.	1454290	Марал хоолой нь өвдсөнөөс болж халуурав.
3778083	¿Está bien, maestro?	3778082	Зөв үү, Багш аа?
