2491	No tengo palabras.	1728219	a! mi ken ala toki.
2997	¡Quiero un MP3!	1725610	mi wile e ilo pi kalama musi. a!
3075	La palabra es plata y el silencio oro.	655623	toki li kiwen walo. toki ala li kiwen jelo.
180721	¿Cuál es su nombre?	1729180	nimi sina li seme?
329889	Él tiene dos gatos.	642606	ona li jo e soweli tu.
333597	Yo trabajo.	1723448	mi pali.
339237	¡Buen viaje!	1720471	tawa pona!
356203	¿Quién eres?	617577	sina jan seme?
380868	Ella habla mucho.	1016806	ona li toki mute.
380916	Quiero dormir.	658851	mi wile lape.
409564	¿Qué es la felicidad?	1793579	pilin pona li seme?
435083	¡Hola! ¡Buenos días!	618518	toki! tenpo suno kama pona!
436276	Soy alto.	614700	mi suli.
436326	Tengo frío.	1730621	mi pilin lete.
442198	¿Dónde está tu casa?	1725781	tomo sina li lon seme?
449153	¿Cómo te llamas?	1729180	nimi sina li seme?
461028	¿Cómo se llama?	1729180	nimi sina li seme?
463428	Soy americano.	1795775	mi jan Mewika.
475003	Hola, soy Nancy.	1720513	toki! mi jan Nensi.
477931	¡Qué bella es ella!	1720874	a! ona li pona lukin.
479870	No.	1726253	ala.
481931	¿Dónde está su casa?	1725781	tomo sina li lon seme?
482390	¿Eres chino o japonés?	1793558	sina jan Sonko anu jan Nijon?
496818	Me gusta este perro.	1725156	soweli ni li pona tawa mi.
504515	Betty es una asesina en serie.	1725441	jan Pesi li moli e jan mute.
505727	¿Qué quieres? Quiero un perro.	663938	"sina wile e seme?" "mi wile e soweli."
531592	No puedo concentrarme con todo este ruido.	1790962	pakala! mi ken ala pilin tan kalama!
534290	Eres estúpido.	1733514	sina nasa.
534291	Eres un estúpido.	1733514	sina nasa.
535017	Los conejos tienen las orejas grandes.	665468	soweli pi noka wawa li jo e kute suli.
537820	Todo va bien.	639820	ale li pona.
553345	¿Eres estadounidense o francés?	1723442	sina jan Mewika anu jan Kanse?
574399	Los rusos nunca sonríen.	1725107	jan Losi li musi uta ala.
583945	Todo está bien.	639820	ale li pona.
585506	En Canadá hablan inglés y francés.	1725248	jan Kanata li kepeken e toki Kanse e toki Inli.
589783	No me gustan los ricos.	1725497	jan pi mani mute li ike tawa mi.
611132	La manzana no cae lejos del árbol.	614702	kili li tawa anpa poka kasi.
618330	Hablo interlingua.	719050	mi toki lon toki Intelinwa.
618852	Ella habla demasiado.	1016806	ona li toki mute.
639203	Jesús te odia.	639791	sina ike mute tawa jan Jesu.
652953	Estoy congelado.	1730621	mi pilin lete.
652955	Estoy helado.	1730621	mi pilin lete.
652957	Me estoy helando.	1730621	mi pilin lete.
652985	Nadie lo sabía.	1792065	jan ala li sona e ni.
670972	A Tatoeba le falta el botón de cerrar sesión.	1720592	tomo pali Tatowepa li jo ala e ilo "o pini pali".
687369	¿Cómo se llama usted?	1729180	nimi sina li seme?
3666894	¿Quién es usted?	617577	sina jan seme?
730048	Él saludó a la mujer.	618299	ona li toki e "toki" tawa meli.
809748	La compañía tiene problemas financieros.	1725372	tomo pali li jo lili e mani.
832100	¡Qué guapa es ella!	1720874	a! ona li pona lukin.
854874	¿Quién es esa chica?	617566	meli ni li jan seme?
858775	Llamé al gatito Tama.	1723435	mi pana e nimi Tama tawa soweli lili ni.
863661	Odio estas palabras.	1720837	nimi ni li ike mute tawa mi.
866951	No, yo no lo he escrito.	1793524	mi sitelen ala e ni.
874273	¿De dónde es tu amigo?	1793515	jan pona sina li kama tan lon seme?
926901	Papá es un buen hombre.	926907	mama mije mi li mije pona.
942495	Todos desean la felicidad.	1795057	jan ali li wile pilin pona.
952960	El conejo tiene orejas largas.	665468	soweli pi noka wawa li jo e kute suli.
1023049	Siempre está ocupado.	1726201	tenpo ali la ona li pali.
1036282	No puedo beber alcohol.	1722926	mi ken ala moku e telo nasa.
1043529	Necesito esto.	1725841	mi wile e ni.
1070864	Estoy remodelando mi dormitorio.	1072353	mi tawa e supa lon tomo mi.
1143588	El agua es importante.	1120809	telo li suli.
1143589	Yo soy importante.	614700	mi suli.
1192171	No se puede sobrevivir sin dinero.	1795858	jan li jo ala e mani la ona li moli.
1193194	El gatito quiere dormir.	658855	soweli lili li wile lape.
1207168	Vete a la escuela.	1725009	o tawa tomo sona!
1213833	¿Cuál es tu nombre?	1729180	nimi sina li seme?
1248459	Soy grande.	614700	mi suli.
1268422	El mamífero está muerto.	643126	soweli li moli.
1284289	Esto es mahjongg.	1725204	ni li musi lipu Mason.
1286070	¿Es usted chino o japonés?	1793558	sina jan Sonko anu jan Nijon?
1286865	Ahora no está en casa.	1790971	tenpo ni la ona li lon ala tomo ona.
1292006	¡Está en Europa!	1723552	sina lon ma Elopa! a!
1302840	El tiempo todo lo cura.	620729	tenpo li pona e sijelo ike ale.
1323394	Atrapé una hermosa mariposa.	1720614	mi alasa e pipi. ona li pona lukin.
1329248	Ella sabe hablar japonés.	1731347	ona li ken kepeken e toki Nijon.
1357539	Yo uso Firefox.	1728226	mi kepeken e ilo "soweli loje seli".
1387750	Ellos tomaron comida y vestiduras.	1836722	ona li alasa e moku e len.
1396944	La muerte del rey provocó una guerra.	1790964	jan lawa li moli. ni li kama e utala.
1411181	Tom no ha cambiado.	1792615	jan Ton li ante ala.
1419080	Él es alto.	1725069	ona li suli.
1427351	Limpia la pieza.	618845	o pona e tomo!
1432391	Ella se sube arriba de la roca.	1121344	ona li tawa sewi kiwen.
1482897	La comida es buena.	1120804	moku li pona.
1483935	Quiero ir a la ciudad.	1022193	mi wile tawa ma tomo.
1490423	Todos nosotros somos felices.	1720731	mi ali li pilin pona.
1546442	Como fruta.	657705	mi moku e kili.
1546443	La gente es buena.	1120807	jan li pona.
1546445	Soy bueno.	1120791	mi pona.
1593504	Ella tiene una cara bonita.	1795021	sinpin ona li pona lukin.
1612243	¿Usted es americano o francés?	1723442	sina jan Mewika anu jan Kanse?
1621818	Este coche ha sido hecho en Japón.	1731292	jan Nijon li pali e tomo tawa ni.
1754811	Le dijo hola a la señora.	618299	ona li toki e "toki" tawa meli.
1811080	¿Sabes hablar Toki Pona?	1892886	sina ken ala ken toki kepeken toki pona?
1829247	¡Joder! ¡No me puedo concentrar en nada con este ruido!	1790962	pakala! mi ken ala pilin tan kalama!
1840141	¿Quién te dio esto?	1839845	jan seme li pana e ni tawa sina?
1862435	El hebreo es mi lengua materna.	1893135	toki Juta li toki mama mi.
1894292	Ella solo quiere divertirse.	2302966	ona li wile musi taso.
2463902	¿Qué comiste tú?	2307504	sina moku e seme?
2734843	Soy normal.	2734991	mi sama jan pi mute mute.
3115492	¿Eres músico?	1843585	sina jan pi kalama musi anu seme?
3782731	Desafortunadamente no lo entiendo. Es demasiado complejo para mí.	2970567	toki ni li kama suli ala tawa mi. ni li ike tawa mi.
3783129	Ellos son humanos.	3783132	ona mute li jan.
4096429	Todos piensan que me estoy volviendo loco.	4091908	jan ali li pilin e ni: mi kama nasa.
4096440	Gente de todo el mundo habla inglés.	4061843	jan pi ma ali li kepeken e toki Inli.
4096444	El calor del sol calienta mi casa.	1120896	seli suno li seli e tomo mi.
4371684	Tom entró en la habitación.	3005350	jan Ton li tawa insa tomo.
4485579	Tu cabello es bonito.	4485555	linja sina li pona lukin.
3666295	No tengo hijos.	4485590	mi jo ala e jan lili.
4486079	¿Puedes usar toki pona?	4384852	sina ken ala ken kepeken e toki pona?
1552872	Espera tu turno.	4487367	o awen e tawa sina.
4487481	¿Vas a usar eso?	4487395	sina pali kepeken ni anu seme?
4487713	Los niños no pueden tomar vino.	4487352	jan lili li ken ala moku e telo nasa.
2257145	Mi hermana es una cantante famosa.	4489153	jan sama mi li jan suli pi kalama musi.
4489160	Mi hermano es un cantante famoso.	4489153	jan sama mi li jan suli pi kalama musi.
603697	Un, dos, tres, cuatro, cinco, seis, siete, ocho, nueve, diez.	640550	wan, tu, tu wan, tu tu, luka, luka wan, luka tu, luka tu wan, luka tu tu, luka luka.
4548686	¡Los ángeles llorarán por ti!	4549501	waso sewi li pana e telo oko tan sina.
4548668	¿Quieres trabajar aquí?	4549512	sina wile ala wile pali lon ni?
4548668	¿Quieres trabajar aquí?	4549514	sina wile pali lon ni anu seme?
4549590	No comas demasiados dulces.	4549633	o moku ala e suwi mute.
4549589	"¿Busca algo?" "No, solo estoy viendo."	4549642	"sina lukin jo e ijo anu seme?" "mi lukin jo ala li lukin taso."
4548688	Soy una mujer de treinta y cuatro años.	4549656	mi meli li jo tenpo sike mute luka luka tu tu.
4548638	Si tuviera dinero, te lo daría.	4549671	mi jo e mani la mi pana e ona tawa sina.
4548627	Quiero hablar de una cosa con vuestra madre.	4549681	mi wile toki tawa mama meli sina.
4550093	Escucha mis palabras.	4550359	o kute e nimi mi.
4550018	Nadie quiere morir.	4550423	jan ala li wile moli.
4550013	Él no es tan guapo como Tom.	4550538	jan Ton li pona lukin mute. ona li pona lukin lili.
4550011	Ellos tienen diferentes prioridades.	4550569	ona mute li wile ala e ijo sama.
4550005	Tom y Mary tienen tres hijos y una hija.	4550869	jan Ton en jan Mali li jo e mije lili tu wan e meli lili wan.
4551451	¿Me siento joven?	4552577	mi pilin ala pilin lili?
4551451	¿Me siento joven?	4552578	mi pilin sama jan pi sike lili anu seme?
4558755	¿Quién tiene las llaves?	4563294	jan seme li jo e ilo open?
1061016	¿Hay alguien aquí?	4563304	jan li lon ala lon ni?
4566614	Alguien diga algo.	4566867	jan o toki e ijo.
4567245	¡Gracias por las respuestas!	4567504	toki sina li pona tawa mi. pona!
4570186	Reconozco mi error.	4571041	mi pilin e ni: mi pali e ijo ike.
4572393	¿Conoces a algún doctor que hable japonés?	4573310	sina sona e jan pi pona sijelo la ona li sona ala sona e toki Nijon?
4576818	¿Por qué soy agnóstico?	4577910	jan sewi li lon ala lon? mi sona ala e ni tan seme?
4577017	Necesito comprar algo.	4577918	mi wile kama jo e ijo lon esun.
981655	Los puntos cardinales son cuatro: norte, sur, este y oeste.	4590260	pini ma lawa li tu tu li ni: open pi nasin suno en pini pi nasin suno en poka pilin pi nasin suno en poka lawa pi nasin suno.
4624694	Nuestros hijos necesitan algo que hacer.	4625551	jan lili pi mi mute li wile pali e ijo.
342277	Ella es admirada por sus amigos.	4630171	ona li pona mute tawa jan pona ona.
3098094	María es guapa.	4647212	jan Mewi li pona lukin.
1180002	No habéis estado nunca en Europa, ¿verdad?	4648429	tenpo ala la sina mute li tawa ma Elopa anu seme?
4650042	Que Dios nos ayude.	4651173	sewi o pana e pona tawa mi.
928545	¡Jesús!	4656943	jan Isa a!
2127824	¡Termina tu trabajo!	4673348	o pini e pali sina!
4486079	¿Puedes usar toki pona?	4709411	sina ken kepeken toki pona anu seme?
1442663	Bill ha encendido la tele.	4754567	jan Pilu li open e ilo pi sitelen tawa.
1590208	Por favor muéstrame dónde estoy en el mapa.	4754930	o pana e sona ni tawa mi kepeken sitelen ma: mi lon seme?
1827559	El dolor compartido es medio dolor.	4763191	sina toki e pilin ike sina tawa jan, la pilin ike sina li wawa ala.
1384624	¿De quién es este coche?	4799785	ni li tomo tawa pi jan seme?
3377771	Somos una familia de cinco personas.	4857501	mi mute li kulupu mama pi jan luka.
3377771	Somos una familia de cinco personas.	4857508	mi mute li kulupu mama pi jan tu tu wan.
4960175	La muerte carece de sensibilidad, todo lo que carece de sensibilidad es nada para nosotros, la muerte es nada para nosotros.	4960172	moli li pilin ala la ijo li pilin ala tawa mi mute la ni li ala.
2102113	No quiero pelear.	2796682	mi wile ala utala.
5134469	Anoté su número en un trozo de papel.	5075336	mi sitelen e nanpa pi ilo toki ona lon lipu lili.
992515	Mira mi coche nuevo.	5184904	o lukin e tomo tawa sin mi.
1706313	¿De dónde viene esto, hija mía?	5227016	meli lili mi o, ni li kama tan seme?
445833	¿Este libro es de Takeo?	5227019	jan Takejo li jo ala jo e lipu ni?
451631	Dime algo importante que hayas aprendido este fin de semana.	5227021	pini pi tenpo esun ni la sina kama sona e ijo suli seme?
